"name","B70","B80","B90","B00","Race70","Race80","Race90","Race00","Male","Female"
"state",,,,,"","","","",,
"",,,,41057,"","","","",,
"AK",4,10,4,32,"Filipino","Filipino","Unknown/Other","",,
"AR",3,6,,8,"Japanese","Chinese","","",,
"CA",154,439,699,667,"Filipino","Filipino","Unknown/Other","",,
"CO",6,3,2,11,"Hawaiian","Japanese","Unknown/Other","",,
"DC",1,6,11,1,"Chinese","Filipino","Chinese","",,
"HI",657,790,307,189,"Hawaiian","Hawaiian","Unknown/Other","Unknown/Other",,
"IL",41,34,19,15,"Filipino","Filipino","Unknown/Other","",,
"LA",5,4,4,3,"Hawaiian","Chinese","Unknown/Other","",,
"OR",18,25,3,13,"Japanese","Filipino","Unknown/Other","",,
"TX",16,10,86,50,"Chinese","Chinese","Unknown/Other","",,
"VA",13,27,4,20,"Filipino","Filipino","Unknown/Other","Unknown/Other",,
"WI",10,3,3,135,"Chinese","Chinese","Unknown/Other","",,
"IA",7,,2,6,"Filipino","","Unknown/Other","",,
"MA",11,14,2,14,"Chinese","Chinese","Filipino","",,
"MD",19,15,6,6,"Filipino","Filipino","Unknown/Other","",,
"NJ",6,14,21,9,"Chinese","Chinese","Unknown/Other","Unknown/Other",,
"NY",50,68,71,692,"Chinese","Chinese","Unknown/Other","",,
"SC",5,5,,89,"Japanese","Filipino","","",,
"TN",9,3,,254,"Chinese","Chinese","","",,
"UT",4,19,4,40,"Chinese","Hawaiian","Unknown/Other","",,
"WA",40,55,61,639,"Filipino","Filipino","Unknown/Other","",,
"FL",13,13,4,575,"Filipino","Chinese","Filipino","",,
"ID",1,18,4,113,"Chinese","Japanese","Unknown/Other","",,
"PA",11,21,1,1730,"Chinese","Chinese","Unknown/Other","",,
"KY",2,2,1,228,"Chinese","Japanese","Hawaiian","",,
"MI",29,14,3,34,"Chinese","Japanese","Unknown/Other","",,
"MN",4,8,8,181,"Filipino","Filipino","Unknown/Other","",,
"NC",8,3,2,27,"Hawaiian","Hawaiian","Filipino","",,
"AZ",8,14,10,17,"Hawaiian","Chinese","Unknown/Other","",,
"OK",4,8,2,3,"Chinese","Chinese","Unknown/Other","",,
"NH",1,2,,20,"Chinese","Hawaiian","","",,
"NV",6,16,7,13,"Filipino","Filipino","Unknown/Other","",,
"MO",8,5,1,8,"Filipino","Chinese","Unknown/Other","",,
"IN",5,7,1,3,"Filipino","Filipino","Chinese","",,
"OH",19,13,,6,"Filipino","Chinese","","",,
"ME",1,4,1,1,"Filipino","Filipino","Hawaiian","",,
"ND",1,,,,"Hawaiian","","","",,
"MT",5,2,,,"Japanese","Filipino","","",,
"RI",11,2,,10,"Filipino","Filipino","","",,
"SD",,1,1,2,"","Chinese","Unknown/Other","Unknown/Other",,
"NE",7,2,2,,"Japanese","Chinese","Unknown/Other","",,
"NM",1,2,,,"Chinese","Chinese","","",,
"undefined",,,,8,"","","","undefined",,
"KS",2,4,1,9,"Japanese","Filipino","Chinese","",,
"MS",5,,,,"Chinese","","","",,
"CT",4,3,1,1,"Filipino","Chinese","Unknown/Other","",,
"GA",1,2,4,7,"Filipino","Filipino","Unknown/Other","Unknown/Other",,
"AL",1,1,1,,"Chinese","Filipino","Unknown/Other","",,
"WV",3,1,,,"Filipino","Filipino","","",,
"WY",2,1,,1,"Chinese","Filipino","","",,
"DE",1,,1,,"Filipino","","Filipino","",,
"P",,,,2,"","","","undefined",,
